# Table 5 in
#
# C. Alder, K. P. Chaing, T. F. Chong, E. Coates, A. A. Khalili and B. Rigg,
# Uniform Chromaticity Scales - New Experimental Data,
# J . Soc. Dyers Colour. 98, 14-20 (1982),
# <https://doi.org/10.1111/j.1478-4408.1982.tb03602.x>.
#
# TABLE 4: Chromaticity Discrimination Ellipses for Illuminant A
#
# Set; x; y; Y; a*10^4; a/b; theta [deg]; n
#
KPC 1   0.4237 0.4960 28.48  84  1.46 74  10
KPC 2   0.4742 0.4928 28.06  72  1.02 64  10
KPC 3   0.4563 0.4689 29.48  75  1.40 52  11
KPC 4   0.4593 0.4331 28.46  71  2.13 31  10
KPC 5   0.4865 0.4558 32.26  45  2.43 28  10
KPC 6   0.3983 0.4502 31.86  63  1.21 86  14
KPC 7   0.3969 0.4450 31.08  52  1.17 58  12
KPC 8   0.3541 0.4373 27.63  55  1.21 14  14
KPC 9   0.3699 0.4273 28.14  57  1.59 170 12
KPC 10  0.3565 0.4087 27.54  60  1.79 15  8
KPC 11  0.4036 0.4121 30.93  50  1.63 24  12
KPC 12  0.4243 0.3996 30.88  57  2.18 25  13
KPC 13  0.4490 0.3971 29.40  47  2.04 9   15
KPC 14  0.4817 0.4059 33.18  52  2.02 172 14
KPC 15  0.4927 0.4188 32.45  42  1.60 8   15
KPC 16  0.5302 0.3882 35.51  81  1.91 171 10
KPC 17  0.4914 0.3920 35.91  59  1.48 161 13
KPC 18  0.5246 0.4179 34.03  49  2.16 1   13
KPC 19  0.5425 0.4193 30.03  50  1.46 171 11
KPC 20  0.5249 0.4497 28.64  49  1.84 8   13
KPC 21  0.5560 0.3772 33.53  84  4.28 162 7
KPC 22  0.2870 0.4483  6.65  246 2.34 159 13
KPC 23  0.2192 0.3538  6.15  185 2.21 19  15
KPC 24  0.2638 0.2282  2.71  203 4.25 47  11
KPC 25  0.3873 0.2683  3.17  191 2.25 43  13
KPC 26  0.6257 0.3389 13.28  145 3.79 159 13
KPC 27  0.4050 0.4078 29.78  51  1.70 32  12
TFC 28  0.3126 0.4039  3.54  152 2.19 8   10
TFC 29  0.4051 0.3976  3.75  69  1.95 15  9
TFC 30  0.5313 0.3865 44.16  103 2.89 175 9
TFC 31  0.3896 0.4026  1.57  147 2.45 17  9
TFC 32  0.4282 0.4050 60.20  43  3.65 4   11
TFC 33  0.3960 0.4046 52.81  48  1.84 7   13
AAK 34  0.3188 0.4643  8.07  116 1.51 154 12
AAK 35  0.2622 0.4031  3.89  145 2.16 7   13
AAK 36  0.3577 0.5244 20.07  61  1.60 111 14
AAK 37  0.4500 0.4102 78.29  50  1.83 31  23
AAK 38  0.4152 0.3648 11.89  64  1.64 32  22
AAK 39  0.4844 0.3265  9.41  74  1.76 15  19
