# Table 4 in
#
# C. Alder, K. P. Chaing, T. F. Chong, E. Coates, A. A. Khalili and B. Rigg,
# Uniform Chromaticity Scales - New Experimental Data,
# J . Soc. Dyers Colour. 98, 14-20 (1982),
# <https://doi.org/10.1111/j.1478-4408.1982.tb03602.x>.
#
# TABLE 4: Chromaticity Discrimination Ellipses for llluminant D65
#
# Set; x; y; Y; a*10^4; a/b; theta [deg]; n

RCK 1   0.3268 0.4783 28.41  142 2.30 74  10
RCK 2   0.4002 0.5064 27.22  150 2.08 55  13
RCK 3   0.3504 0.4706 28.26  127 2.30 71  11
RCK 4   0.3404 0.3863 28.70  114 3.86 59  7
RCK 5   0.3870 0.4492 30.32  97  2.69 51  13
RCK 7   0.2800 0.3622 32.97  86  1.89 61  10
RCK 8   0.2429 0.3414 31.60  84  1.74 38  9
RCK 9   0.2491 0.3308 31.25  68  1.63 22  10
RCK 10  0.2409 0.3072 31.79  67  1.78 45  15
RCK 11  0.2739 0.3237 33.08  77  3.11 40  14
RCK 12  0.2876 0.3107 31.96  103 3.61 45  12
RCK 13  0.3074 0.3136 29.58  96  2.89 47  13
RCK 14  0.3518 0.3457 30.91  66  2.38 35  10
RCK 15  0.3690 0.3828 31.11  69  2.48 40  9
RCK 16  0.4062 0.3511 30.85  101 2.60 10  12
RCK 17  0.3541 0.3270 33.72  102 2.20 27  11
RCK 18  0.4083 0.3929 30.60  90  3.29 25  12
RCK 19  0.4950 0.4358 30.02  125 2.30 11  12
RCK 20  0.4584 0.4758 29.08  132 2.89 33  10
RCK 21  0.4517 0.3768 31.69  144 5.07 7   10
KPC 22  0.1999 0.4124  8.54  166 2.22 128 14
KPC 23  0.1602 0.2441  9.78  101 2.17 49  15
KPC 24  0.1755 0.1316  3.72  138 4.88 71  11
KPC 25  0.2129 0.1637  3.56  185 4.62 65  12
KPC 26  0.5223 0.3097  9.25  259 4.83 180 12
KPC 27  0.2716 0.3172 32.16  77  3.08 40  12
TFC 28  0.2103 0.2908  4.39  108 1.67 30  10
TFC 29  0.2714 0.2985  4.02  86  2.53 43  11
TFC 30  0.4022 0.3411  3.63  171 3.45 19  12
TFC 31  0.2600 0.3013  1.73  141 2.15 35  10
TFC 32  0.2922 0.3174 62.36  36  2.15 35  11
TFC 33  0.2648 0.3080 57.66  57  1.93 58  13
AAK 34  0.2246 0.3634  9.79  78  1.12 160 12
AAK 35  0.1749 0.3075  5.31  107 2.12 25  13
AAK 36  0.2692 0.4828 23.35  113 1.92 106 18
AAK 37  0.3135 0.3352 78.05  51  4.27 47  25
AAK 38  0.2629 0.2666 12.32  47  3.65 58  19
AAK 39  0.3053 0.2265  8.39  97  2.08 56  24
CA 40   0.3256 0.2723 29.00  109 2.04 49  14
CA 41   0.3256 0.2723 29.00  124 1.94 37  13
CA 42   0.5391 0.3761 21.91  106 2.92 172 13
CA 43   0.2991 0.3258 14.65  59  2.12 46  19
KPC 1   0.4237 0.4960 28.48  84  1.46 74  10
KPC 2   0.4742 0.4928 28.06  72  1.02 64  10
KPC 3   0.4563 0.4689 29.48  75  1.40 52  11
KPC 4   0.4593 0.4331 28.46  71  2.13 31  10
KPC 5   0.4865 0.4558 32.26  45  2.43 28  10
KPC 6   0.3983 0.4502 31.86  63  1.21 86  14
KPC 7   0.3969 0.4450 31.08  52  1.17 58  12
KPC 8   0.3541 0.4373 27.63  55  1.21 14  14
KPC 9   0.3699 0.4273 28.14  57  1.59 170 12
KPC 10  0.3565 0.4087 27.54  60  1.79 15  8
KPC 11  0.4036 0.4121 30.93  50  1.63 24  12
KPC 12  0.4243 0.3996 30.88  57  2.18 25  13
KPC 13  0.4490 0.3971 29.40  47  2.04 9   15
KPC 14  0.4817 0.4059 33.18  52  2.02 172 14
KPC 15  0.4927 0.4188 32.45  42  1.60 8   15
KPC 16  0.5302 0.3882 35.51  81  1.91 171 10
KPC 17  0.4914 0.3920 35.91  59  1.48 161 13
KPC 18  0.5246 0.4179 34.03  49  2.16 1   13
KPC 19  0.5425 0.4193 30.03  50  1.46 171 11
KPC 20  0.5249 0.4497 28.64  49  1.84 8   13
KPC 21  0.5560 0.3772 33.53  84  4.28 162 7
KPC 22  0.2870 0.4483  6.65  246 2.34 159 13
KPC 23  0.2192 0.3538  6.15  185 2.21 19  15
KPC 24  0.2638 0.2282  2.71  203 4.25 47  11
KPC 25  0.3873 0.2683  3.17  191 2.25 43  13
KPC 26  0.6257 0.3389 13.28  145 3.79 159 13
KPC 27  0.4050 0.4078 29.78  51  1.70 32  12
TFC 28  0.3126 0.4039  3.54  152 2.19 8   10
TFC 29  0.4051 0.3976  3.75  69  1.95 15  9
TFC 30  0.5313 0.3865 44.16  103 2.89 175 9
TFC 31  0.3896 0.4026  1.57  147 2.45 17  9
TFC 32  0.4282 0.4050 60.20  43  3.65 4   11
TFC 33  0.3960 0.4046 52.81  48  1.84 7   13
AAK 34  0.3188 0.4643  8.07  116 1.51 154 12
AAK 35  0.2622 0.4031  3.89  145 2.16 7   13
AAK 36  0.3577 0.5244 20.07  61  1.60 111 14
AAK 37  0.4500 0.4102 78.29  50  1.83 31  23
AAK 38  0.4152 0.3648 11.89  64  1.64 32  22
AAK 39  0.4844 0.3265  9.41  74  1.76 15  19
