# David L. MacAdam,
# Uniform color scales,
# Journal of the Optical Society of America, Volume 64, Number 12,
# December 1974.
#
# TABLE II. Colorimetric specifications of tiles (diffuse) D65  CIE
# 1964 supplementary 100 observer.
#
# Tile x y Y g j L

 1 0.3120 0.5412 30.50  6.859 7.125 -0.24
 2 0.2952 0.4786 29.96  5.934 4.948 -0.47
 3 0.3466 0.4899 29.28  4.177 6.237 -0.73
 4 0.3949 0.4897 27.15  2.385 7.089 -1.12
 5 0.2627 0.4254 29.58  6.027 2.700 -0.43
 6 0.3039 0.4358 27.84  4.261 3.666 -0.89
 7 0.3550 0.4477 27.16  2.477 4.955 -1.09
 8 0.3933 0.4506 25.06  1.085 5.662 -1.44
 9 0.4469 0.4595 26.79 -0.423 7.389 -1.04
10 0.2376 0.3652 29.51  5.810 0.164 -0.32
11 0.2747 0.3785 28.26  3.989 1.249 -0.65
12 0.3159 0.3928 27.56  2.346 2.436 -0.89
13 0.3616 0.4073 28.68  0.803 3.842 -0.75
14 0.4025 0.4161 27.55 -0.577 4.920 -0.91


15 -0.5220 -0.5421 -0.5922 -0.6423 -0.5024' -0.6425 -0.8316 -0.7917 0.2918
-0.1119 0.4475 0.4833 0.2305 0.253 1 0.2863 0.3247 0.3627 0.4068 0.4459 0.4916
0.2368 0.3418 0.3840 0.3884 0.3973 0.2855 0.4224 0.422 1 0.3215 0.33 11 0.3584
0.3704 27.30 26.54 30.03 29.53 28.39 28.84 28.75 28.2128.23 26.38 29.58 -2.058
-5.000 -3.358 -0.815 -2.241 -3.747 5.136 3.801 2.070 0.608 3.309 6.172 -1.809
-0.980-3.470 0.016 2.488 3.868 4.92 1 7.0431.333 6.294 0.37

26 0.2627 0.2028 0.2661 0.3007 0.3342 0.3005 0.3189 0.3340 29.83 30.26 27.95 1.745 0.244 -1.024 -2.245 -0.790 0.462 -0.57
29 0.3738 0.3455 28.77 -2.629 1.664 -0.41
30 -0.3532 -0.4231 0.4090 0.4869 0.4588 0.3570 0.3637 0.3649 28.49 27.72 28.29 -3.793 -5.744 -7.218 2.827 4.161 5.085 0.20
33 0.7034 0.5535 0.1236 0.2519 0.2797 0.3064 0.3406 0.2960 0.3133 0.2619 0.2814 30.72 30.73 29.14 29.18 0.987-0.218 -1.331 -2.552 -4.642 -1.820 -0.384 -3.087 -0.12
37 0.3787 0.3272 28.12 -3.905 0.917 -0.40
38 0.2940R -0.1339 0.1540 0.5541 0.2642 0.2343 0.3866i 0.4199 0.4555 0.2938 0.3225 0.3609 0.5150 0.3336 0.3383 0.2605 0.2740 0.2870 0.3380 28.5028.14 29.86 28.77 28.6527.92 10.60 -5.843 -7.523 -2.586 -3.839. -5.633 -6.733 - 7.078 2.004 -4.066 -2.781 -1.447 -0.627 3.015 2.959 0.09-3.78


R2 0.4916 0.3477 10.30 -5.697 2.854 -4.03
R3 0.4424 0.3160 18.10 -6.914 1.289 -2.06

R4 0.4874 0.3661 17.27 -5.702 4.107 -2.32

Y1 4.107y1 0.4874 0.3708 0.3661 0.4040 17.27 79.95 -5.702 0.396 5.877 -2.325.22

Y2 0.3896 0.4340 80.15 1.001 8.055 5.15
Y3 0.4054 0.4334 58.27 0.023 7.667 3.31
Y4 0.3868 0.4409 58.85 1.406 7.480 3.30
GI 0.2674 0.3504 28.85 3.5 15 0.064 -0.44
G2 -0.03G3 -2.47G4 0.2434 0.2560 0.2265 0.3926 0.3406 0.3636 30.07 18.37 18.70 5.561 4.8194.549 0.202 -0.823 1.21 8 -2.22
BI 0.1-930 0.1766 6.48 1.404 -6.289 -5.10
B2 0.2248 0.2276 6.04 0.865 -3.726 -5.52
B3 0.2136 0.2379 11.74 2.226 -4.461 -3.54
B4 0.2432 0.22 12 10.98 -0.389 -4.838 -3.72
